,Date,Year,Month,Day,DayOfYear
183,1995-07-03,1995,7,3,184
184,1995-07-04,1995,7,4,185
185,1995-07-05,1995,7,5,186
186,1995-07-06,1995,7,6,187
187,1995-07-07,1995,7,7,188
188,1995-07-08,1995,7,8,189
189,1995-07-09,1995,7,9,190
190,1995-07-10,1995,7,10,191
191,1995-07-11,1995,7,11,192
192,1995-07-12,1995,7,12,193
193,1995-07-13,1995,7,13,194
194,1995-07-14,1995,7,14,195
195,1995-07-15,1995,7,15,196
196,1995-07-16,1995,7,16,197
197,1995-07-17,1995,7,17,198
198,1995-07-18,1995,7,18,199
199,1995-07-19,1995,7,19,200
200,1995-07-20,1995,7,20,201
201,1995-07-21,1995,7,21,202
202,1995-07-22,1995,7,22,203
203,1995-07-23,1995,7,23,204
204,1995-07-24,1995,7,24,205
205,1995-07-25,1995,7,25,206
206,1995-07-26,1995,7,26,207
207,1995-07-27,1995,7,27,208
208,1995-07-28,1995,7,28,209
209,1995-07-29,1995,7,29,210
210,1995-07-30,1995,7,30,211
211,1995-07-31,1995,7,31,212
212,1995-08-01,1995,8,1,213
213,1995-08-02,1995,8,2,214
214,1995-08-03,1995,8,3,215
215,1995-08-04,1995,8,4,216
216,1995-08-05,1995,8,5,217
217,1995-08-06,1995,8,6,218
218,1995-08-07,1995,8,7,219
219,1995-08-08,1995,8,8,220
220,1995-08-09,1995,8,9,221
221,1995-08-10,1995,8,10,222
222,1995-08-11,1995,8,11,223
223,1995-08-12,1995,8,12,224
224,1995-08-13,1995,8,13,225
225,1995-08-14,1995,8,14,226
226,1995-08-15,1995,8,15,227
227,1995-08-16,1995,8,16,228
228,1995-08-17,1995,8,17,229
229,1995-08-18,1995,8,18,230
230,1995-08-19,1995,8,19,231
231,1995-08-20,1995,8,20,232
232,1995-08-21,1995,8,21,233
233,1995-08-22,1995,8,22,234
234,1995-08-23,1995,8,23,235
235,1995-08-24,1995,8,24,236
236,1995-08-25,1995,8,25,237
237,1995-08-26,1995,8,26,238
238,1995-08-27,1995,8,27,239
239,1995-08-28,1995,8,28,240
240,1995-08-29,1995,8,29,241
241,1995-08-30,1995,8,30,242
242,1995-08-31,1995,8,31,243
243,1996-03-19,1996,3,19,79
244,1996-03-20,1996,3,20,80
245,1996-03-21,1996,3,21,81
246,1996-03-22,1996,3,22,82
247,1996-03-23,1996,3,23,83
248,1996-03-24,1996,3,24,84
249,1996-03-25,1996,3,25,85
250,1996-03-26,1996,3,26,86
251,1996-03-27,1996,3,27,87
252,1996-03-28,1996,3,28,88
253,1996-03-29,1996,3,29,89
254,1996-03-30,1996,3,30,90
255,1996-03-31,1996,3,31,91
256,1996-04-01,1996,4,1,92
257,1996-04-02,1996,4,2,93
258,1996-04-03,1996,4,3,94
259,1996-04-04,1996,4,4,95
260,1996-04-05,1996,4,5,96
261,1996-04-06,1996,4,6,97
262,1996-04-07,1996,4,7,98
263,1996-04-08,1996,4,8,99
264,1996-04-09,1996,4,9,100
265,1996-04-10,1996,4,10,101
266,1996-04-11,1996,4,11,102
267,1996-04-15,1996,4,15,106
268,1996-04-16,1996,4,16,107
269,1996-04-17,1996,4,17,108
270,1996-04-18,1996,4,18,109
271,1996-04-19,1996,4,19,110
272,1996-04-20,1996,4,20,111
273,1996-04-21,1996,4,21,112
274,1996-04-22,1996,4,22,113
275,1996-04-23,1996,4,23,114
276,1996-04-24,1996,4,24,115
277,1996-04-25,1996,4,25,116
278,1996-04-26,1996,4,26,117
279,1996-04-27,1996,4,27,118
280,1996-04-28,1996,4,28,119
281,1996-04-29,1996,4,29,120
282,1996-04-30,1996,4,30,121
283,1996-05-01,1996,5,1,122
284,1996-05-02,1996,5,2,123
285,1996-05-03,1996,5,3,124
286,1996-05-04,1996,5,4,125
287,1996-05-05,1996,5,5,126
288,1996-05-06,1996,5,6,127
289,1996-05-07,1996,5,7,128
290,1996-05-08,1996,5,8,129
291,1996-05-09,1996,5,9,130
292,1996-05-10,1996,5,10,131
293,1996-05-11,1996,5,11,132
294,1996-05-12,1996,5,12,133
295,1996-05-13,1996,5,13,134
296,1996-05-14,1996,5,14,135
297,1996-05-15,1996,5,15,136
298,1996-05-16,1996,5,16,137
299,1996-05-17,1996,5,17,138
300,1996-05-18,1996,5,18,139
301,1996-05-19,1996,5,19,140
302,1996-05-20,1996,5,20,141
303,1996-05-21,1996,5,21,142
304,1996-05-22,1996,5,22,143
305,1996-05-23,1996,5,23,144
306,1996-05-24,1996,5,24,145
307,1996-05-25,1996,5,25,146
308,1996-05-26,1996,5,26,147
309,1996-05-27,1996,5,27,148
310,1996-05-28,1996,5,28,149
311,1996-05-29,1996,5,29,150
312,1996-05-30,1996,5,30,151
313,1996-05-31,1996,5,31,152
314,1996-06-01,1996,6,1,153
315,1996-06-02,1996,6,2,154
316,1996-06-03,1996,6,3,155
317,1996-06-04,1996,6,4,156
318,1996-06-05,1996,6,5,157
319,1996-06-06,1996,6,6,158
320,1996-06-07,1996,6,7,159
321,1996-06-08,1996,6,8,160
322,1996-06-09,1996,6,9,161
323,1996-06-10,1996,6,10,162
324,1996-06-11,1996,6,11,163
325,1996-06-12,1996,6,12,164
326,1996-06-13,1996,6,13,165
327,1996-06-14,1996,6,14,166
328,1996-06-15,1996,6,15,167
329,1996-06-16,1996,6,16,168
330,1996-06-17,1996,6,17,169
331,1996-06-18,1996,6,18,170
332,1996-06-19,1996,6,19,171
333,1996-06-20,1996,6,20,172
334,1996-06-21,1996,6,21,173
335,1996-06-22,1996,6,22,174
336,1996-06-23,1996,6,23,175
337,1996-06-24,1996,6,24,176
338,1996-06-25,1996,6,25,177
339,1996-06-26,1996,6,26,178
340,1996-06-27,1996,6,27,179
341,1996-06-28,1996,6,28,180
342,1996-06-29,1996,6,29,181
343,1996-06-30,1996,6,30,182
344,1996-07-01,1996,7,1,183
345,1996-07-02,1996,7,2,184
346,1996-07-03,1996,7,3,185
347,1996-07-04,1996,7,4,186
348,1996-07-05,1996,7,5,187
349,1996-07-06,1996,7,6,188
350,1996-07-07,1996,7,7,189
351,1996-07-08,1996,7,8,190
352,1996-07-09,1996,7,9,191
353,1996-07-10,1996,7,10,192
354,1996-07-11,1996,7,11,193
355,1996-07-12,1996,7,12,194
356,1996-07-13,1996,7,13,195
357,1996-07-14,1996,7,14,196
358,1996-07-15,1996,7,15,197
359,1996-07-16,1996,7,16,198
360,1996-07-17,1996,7,17,199
361,1996-07-18,1996,7,18,200
362,1996-07-19,1996,7,19,201
363,1996-07-20,1996,7,20,202
364,1996-07-21,1996,7,21,203
365,1996-07-22,1996,7,22,204
366,1996-07-23,1996,7,23,205
367,1996-07-24,1996,7,24,206
368,1996-07-25,1996,7,25,207
369,1996-07-26,1996,7,26,208
370,1996-07-27,1996,7,27,209
371,1996-07-28,1996,7,28,210
372,1996-07-29,1996,7,29,211
373,1996-07-30,1996,7,30,212
374,1996-07-31,1996,7,31,213
375,1996-08-01,1996,8,1,214
376,1996-08-02,1996,8,2,215
377,1996-08-03,1996,8,3,216
378,1996-08-04,1996,8,4,217
379,1996-08-05,1996,8,5,218
380,1996-08-06,1996,8,6,219
381,1996-08-07,1996,8,7,220
382,1996-08-08,1996,8,8,221
383,1996-08-10,1996,8,10,223
384,1996-08-11,1996,8,11,224
385,1996-08-12,1996,8,12,225
386,1996-08-13,1996,8,13,226
387,1996-08-14,1996,8,14,227
388,1996-08-15,1996,8,15,228
389,1996-08-16,1996,8,16,229
390,1996-08-17,1996,8,17,230
391,1996-08-18,1996,8,18,231
392,1996-08-19,1996,8,19,232
393,1996-08-20,1996,8,20,233
394,1996-08-21,1996,8,21,234
395,1996-08-22,1996,8,22,235
396,1996-08-23,1996,8,23,236
397,1996-08-24,1996,8,24,237
398,1996-08-25,1996,8,25,238
399,1996-08-26,1996,8,26,239
400,1996-08-27,1996,8,27,240
401,1996-08-28,1996,8,28,241
402,1996-08-29,1996,8,29,242
403,1996-08-30,1996,8,30,243
404,1996-08-31,1996,8,31,244
405,1996-09-01,1996,9,1,245
406,1996-09-02,1996,9,2,246
407,1996-09-03,1996,9,3,247
408,1996-09-04,1996,9,4,248
409,1996-09-05,1996,9,5,249
410,1996-09-06,1996,9,6,250
411,1996-09-07,1996,9,7,251
412,1996-09-08,1996,9,8,252
413,1996-09-09,1996,9,9,253
414,1996-09-10,1996,9,10,254
415,1996-09-11,1996,9,11,255
416,1996-09-12,1996,9,12,256
417,1996-09-13,1996,9,13,257
418,1996-09-14,1996,9,14,258
419,1996-09-15,1996,9,15,259
420,1996-09-16,1996,9,16,260
421,1996-09-17,1996,9,17,261
422,1996-09-18,1996,9,18,262
423,1996-09-19,1996,9,19,263
424,1996-09-20,1996,9,20,264
425,1996-09-21,1996,9,21,265
426,1996-09-22,1996,9,22,266
427,1996-09-23,1996,9,23,267
428,1996-09-24,1996,9,24,268
429,1996-09-25,1996,9,25,269
430,1996-09-26,1996,9,26,270
431,1996-09-27,1996,9,27,271
432,1996-09-28,1996,9,28,272
433,1996-09-29,1996,9,29,273
434,1996-09-30,1996,9,30,274
435,1996-10-01,1996,10,1,275
436,1996-10-02,1996,10,2,276
437,1996-10-03,1996,10,3,277
438,1996-10-04,1996,10,4,278
439,1996-10-05,1996,10,5,279
440,1996-10-06,1996,10,6,280
441,1996-10-07,1996,10,7,281
442,1996-10-08,1996,10,8,282
443,1996-10-09,1996,10,9,283
444,1996-10-10,1996,10,10,284
445,1996-10-11,1996,10,11,285
446,1996-10-12,1996,10,12,286
447,1996-10-13,1996,10,13,287
448,1996-10-14,1996,10,14,288
449,1996-10-15,1996,10,15,289
450,1996-10-16,1996,10,16,290
451,1996-10-17,1996,10,17,291
452,1996-10-19,1996,10,19,293
453,1996-10-21,1996,10,21,295
454,1996-10-22,1996,10,22,296
455,1996-10-23,1996,10,23,297
456,1996-10-24,1996,10,24,298
457,1996-10-25,1996,10,25,299
458,1996-10-26,1996,10,26,300
459,1996-10-27,1996,10,27,301
460,1996-10-28,1996,10,28,302
461,1996-10-29,1996,10,29,303
462,1996-10-30,1996,10,30,304
463,1996-10-31,1996,10,31,305
464,1996-11-01,1996,11,1,306
465,1996-11-02,1996,11,2,307
466,1996-11-03,1996,11,3,308
467,1996-11-04,1996,11,4,309
468,1996-11-05,1996,11,5,310
469,1996-11-06,1996,11,6,311
470,1996-11-07,1996,11,7,312
471,1996-11-08,1996,11,8,313
472,1996-11-09,1996,11,9,314
473,1996-11-10,1996,11,10,315
474,1996-11-11,1996,11,11,316
475,1996-11-12,1996,11,12,317
476,1996-11-13,1996,11,13,318
477,1996-11-14,1996,11,14,319
478,1996-11-15,1996,11,15,320
479,1996-11-16,1996,11,16,321
480,1996-11-17,1996,11,17,322
481,1996-11-18,1996,11,18,323
482,1996-11-19,1996,11,19,324
483,1996-11-20,1996,11,20,325
484,1996-11-21,1996,11,21,326
485,1996-11-22,1996,11,22,327
486,1996-11-23,1996,11,23,328
487,1996-11-24,1996,11,24,329
488,1996-11-25,1996,11,25,330
489,1996-11-26,1996,11,26,331
490,1996-11-27,1996,11,27,332
491,1996-11-28,1996,11,28,333
492,1996-11-29,1996,11,29,334
493,1996-11-30,1996,11,30,335
494,1996-12-01,1996,12,1,336
495,1996-12-02,1996,12,2,337
496,1996-12-03,1996,12,3,338
497,1996-12-04,1996,12,4,339
498,1996-12-05,1996,12,5,340
499,1996-12-06,1996,12,6,341
500,1996-12-07,1996,12,7,342
501,1996-12-08,1996,12,8,343
502,1996-12-09,1996,12,9,344
503,1996-12-10,1996,12,10,345
504,1996-12-11,1996,12,11,346
505,1996-12-12,1996,12,12,347
506,1996-12-13,1996,12,13,348
507,1996-12-14,1996,12,14,349
508,1996-12-15,1996,12,15,350
509,1996-12-16,1996,12,16,351
510,1996-12-17,1996,12,17,352
511,1996-12-18,1996,12,18,353
512,1996-12-19,1996,12,19,354
513,1996-12-20,1996,12,20,355
514,1996-12-21,1996,12,21,356
515,1996-12-22,1996,12,22,357
516,1996-12-23,1996,12,23,358
517,1996-12-24,1996,12,24,359
518,1996-12-25,1996,12,25,360
519,1996-12-26,1996,12,26,361
520,1996-12-27,1996,12,27,362
521,1996-12-28,1996,12,28,363
522,1996-12-29,1996,12,29,364
523,1996-12-30,1996,12,30,365
524,1996-12-31,1996,12,31,366
525,1997-01-01,1997,1,1,1
526,1997-01-02,1997,1,2,2
527,1997-01-03,1997,1,3,3
528,1997-01-04,1997,1,4,4
529,1997-01-05,1997,1,5,5
530,1997-01-06,1997,1,6,6
531,1997-01-07,1997,1,7,7
532,1997-01-08,1997,1,8,8
533,1997-01-09,1997,1,9,9
534,1997-01-10,1997,1,10,10
535,1997-01-11,1997,1,11,11
536,1997-01-12,1997,1,12,12
537,1997-01-13,1997,1,13,13
538,1997-01-14,1997,1,14,14
539,1997-01-15,1997,1,15,15
540,1997-01-16,1997,1,16,16
541,1997-01-17,1997,1,17,17
542,1997-01-18,1997,1,18,18
543,1997-01-19,1997,1,19,19
544,1997-01-20,1997,1,20,20
545,1997-01-21,1997,1,21,21
546,1997-01-22,1997,1,22,22
547,1997-01-23,1997,1,23,23
548,1997-01-24,1997,1,24,24
549,1997-01-25,1997,1,25,25
550,1997-01-26,1997,1,26,26
551,1997-01-27,1997,1,27,27
552,1997-01-28,1997,1,28,28
553,1997-01-29,1997,1,29,29
554,1997-01-30,1997,1,30,30
555,1997-01-31,1997,1,31,31
556,1997-02-01,1997,2,1,32
557,1997-02-02,1997,2,2,33
558,1997-02-03,1997,2,3,34
559,1997-02-04,1997,2,4,35
560,1997-02-05,1997,2,5,36
561,1997-02-06,1997,2,6,37
562,1997-02-07,1997,2,7,38
563,1997-02-08,1997,2,8,39
564,1997-02-09,1997,2,9,40
565,1997-02-10,1997,2,10,41
566,1997-02-11,1997,2,11,42
567,1997-02-12,1997,2,12,43
568,1997-02-13,1997,2,13,44
569,1997-02-14,1997,2,14,45
570,1997-02-15,1997,2,15,46
571,1997-02-16,1997,2,16,47
572,1997-02-17,1997,2,17,48
573,1997-02-18,1997,2,18,49
574,1997-02-19,1997,2,19,50
575,1997-02-20,1997,2,20,51
576,1997-02-21,1997,2,21,52
577,1997-02-22,1997,2,22,53
578,1997-02-23,1997,2,23,54
579,1997-02-24,1997,2,24,55
580,1997-02-25,1997,2,25,56
581,1997-02-26,1997,2,26,57
582,1997-02-27,1997,2,27,58
583,1997-02-28,1997,2,28,59
584,1997-03-01,1997,3,1,60
585,1997-03-02,1997,3,2,61
586,1997-03-03,1997,3,3,62
587,1997-03-04,1997,3,4,63
588,1997-03-05,1997,3,5,64
589,1997-03-06,1997,3,6,65
590,1997-03-07,1997,3,7,66
591,1997-03-08,1997,3,8,67
592,1997-03-09,1997,3,9,68
593,1997-03-10,1997,3,10,69
594,1997-03-11,1997,3,11,70
595,1997-03-12,1997,3,12,71
596,1997-03-13,1997,3,13,72
597,1997-03-14,1997,3,14,73
598,1997-03-15,1997,3,15,74
599,1997-03-16,1997,3,16,75
600,1997-03-17,1997,3,17,76
601,1997-03-18,1997,3,18,77
602,1997-03-19,1997,3,19,78
603,1997-03-20,1997,3,20,79
604,1997-03-21,1997,3,21,80
605,1997-03-22,1997,3,22,81
606,1997-03-23,1997,3,23,82
607,1997-03-24,1997,3,24,83
608,1997-03-25,1997,3,25,84
609,1997-03-26,1997,3,26,85
610,1997-03-27,1997,3,27,86
611,1997-03-28,1997,3,28,87
612,1997-03-29,1997,3,29,88
613,1997-03-30,1997,3,30,89
614,1997-03-31,1997,3,31,90
615,1997-04-01,1997,4,1,91
616,1997-04-02,1997,4,2,92
617,1997-04-03,1997,4,3,93
618,1997-04-04,1997,4,4,94
619,1997-04-05,1997,4,5,95
620,1997-04-06,1997,4,6,96
621,1997-04-07,1997,4,7,97
622,1997-04-08,1997,4,8,98
623,1997-04-09,1997,4,9,99
624,1997-04-10,1997,4,10,100
625,1997-04-11,1997,4,11,101
626,1997-04-12,1997,4,12,102
627,1997-04-13,1997,4,13,103
628,1997-04-14,1997,4,14,104
629,1997-04-15,1997,4,15,105
630,1997-04-16,1997,4,16,106
631,1997-04-17,1997,4,17,107
632,1997-04-18,1997,4,18,108
633,1997-04-19,1997,4,19,109
634,1997-04-21,1997,4,21,111
635,1997-04-22,1997,4,22,112
636,1997-04-23,1997,4,23,113
637,1997-04-24,1997,4,24,114
638,1997-04-25,1997,4,25,115
639,1997-04-26,1997,4,26,116
640,1997-04-27,1997,4,27,117
641,1997-04-28,1997,4,28,118
642,1997-04-29,1997,4,29,119
643,1997-04-30,1997,4,30,120
644,1997-05-01,1997,5,1,121
645,1997-05-02,1997,5,2,122
646,1997-05-03,1997,5,3,123
647,1997-05-04,1997,5,4,124
648,1997-05-05,1997,5,5,125
649,1997-05-06,1997,5,6,126
650,1997-05-07,1997,5,7,127
651,1997-05-08,1997,5,8,128
652,1997-05-09,1997,5,9,129
653,1997-05-10,1997,5,10,130
654,1997-05-11,1997,5,11,131
655,1997-05-12,1997,5,12,132
656,1997-05-13,1997,5,13,133
657,1997-05-14,1997,5,14,134
658,1997-05-15,1997,5,15,135
659,1997-05-16,1997,5,16,136
660,1997-05-17,1997,5,17,137
661,1997-05-18,1997,5,18,138
662,1997-05-19,1997,5,19,139
663,1997-05-20,1997,5,20,140
664,1997-05-21,1997,5,21,141
665,1997-05-22,1997,5,22,142
666,1997-05-23,1997,5,23,143
667,1997-05-24,1997,5,24,144
668,1997-05-25,1997,5,25,145
669,1997-05-26,1997,5,26,146
670,1997-05-27,1997,5,27,147
671,1997-05-28,1997,5,28,148
672,1997-05-29,1997,5,29,149
673,1997-05-30,1997,5,30,150
674,1997-05-31,1997,5,31,151
675,1997-06-01,1997,6,1,152
676,1997-06-02,1997,6,2,153
677,1997-06-03,1997,6,3,154
678,1997-06-04,1997,6,4,155
679,1997-06-05,1997,6,5,156
680,1997-06-06,1997,6,6,157
681,1997-06-07,1997,6,7,158
682,1997-06-08,1997,6,8,159
683,1997-06-09,1997,6,9,160
684,1997-06-10,1997,6,10,161
685,1997-06-11,1997,6,11,162
686,1997-06-12,1997,6,12,163
687,1997-06-13,1997,6,13,164
688,1997-06-14,1997,6,14,165
689,1997-06-15,1997,6,15,166
690,1997-06-16,1997,6,16,167
691,1997-06-17,1997,6,17,168
692,1997-06-18,1997,6,18,169
693,1997-06-19,1997,6,19,170
694,1997-06-20,1997,6,20,171
695,1997-06-21,1997,6,21,172
696,1997-06-22,1997,6,22,173
697,1997-06-23,1997,6,23,174
698,1997-06-24,1997,6,24,175
699,1997-06-25,1997,6,25,176
700,1997-06-26,1997,6,26,177
701,1997-06-27,1997,6,27,178
702,1997-06-28,1997,6,28,179
703,1997-06-29,1997,6,29,180
704,1997-06-30,1997,6,30,181
705,1997-07-01,1997,7,1,182
706,1997-07-02,1997,7,2,183
707,1997-07-03,1997,7,3,184
708,1997-07-04,1997,7,4,185
709,1997-07-05,1997,7,5,186
710,1997-07-06,1997,7,6,187
711,1997-07-07,1997,7,7,188
712,1997-07-08,1997,7,8,189
713,1997-07-09,1997,7,9,190
714,1997-07-10,1997,7,10,191
715,1997-07-11,1997,7,11,192
716,1997-07-12,1997,7,12,193
717,1997-07-13,1997,7,13,194
718,1997-07-14,1997,7,14,195
719,1997-07-15,1997,7,15,196
720,1997-07-16,1997,7,16,197
721,1997-07-17,1997,7,17,198
722,1997-07-18,1997,7,18,199
723,1997-07-19,1997,7,19,200
724,1997-07-20,1997,7,20,201
725,1997-07-21,1997,7,21,202
726,1997-07-22,1997,7,22,203
727,1997-07-23,1997,7,23,204
728,1997-07-24,1997,7,24,205
729,1997-07-25,1997,7,25,206
730,1997-07-26,1997,7,26,207
731,1997-07-27,1997,7,27,208
732,1997-07-28,1997,7,28,209
733,1997-07-29,1997,7,29,210
734,1997-07-30,1997,7,30,211
735,1997-07-31,1997,7,31,212
736,1997-08-01,1997,8,1,213
737,1997-08-02,1997,8,2,214
738,1997-08-03,1997,8,3,215
739,1997-08-04,1997,8,4,216
740,1997-08-05,1997,8,5,217
741,1997-08-06,1997,8,6,218
742,1997-08-08,1997,8,8,220
743,1997-08-09,1997,8,9,221
744,1997-08-10,1997,8,10,222
745,1997-08-11,1997,8,11,223
746,1997-08-12,1997,8,12,224
747,1997-08-13,1997,8,13,225
748,1997-08-14,1997,8,14,226
749,1997-08-15,1997,8,15,227
750,1997-08-16,1997,8,16,228
751,1997-08-17,1997,8,17,229
752,1997-08-18,1997,8,18,230
753,1997-08-19,1997,8,19,231
754,1997-08-20,1997,8,20,232
755,1997-08-21,1997,8,21,233
756,1997-08-22,1997,8,22,234
757,1997-08-23,1997,8,23,235
758,1997-08-24,1997,8,24,236
759,1997-08-25,1997,8,25,237
760,1997-08-26,1997,8,26,238
761,1997-08-27,1997,8,27,239
762,1997-08-28,1997,8,28,240
763,1997-08-29,1997,8,29,241
764,1997-08-30,1997,8,30,242
765,1997-08-31,1997,8,31,243
766,1997-09-01,1997,9,1,244
767,1997-09-02,1997,9,2,245
768,1997-09-03,1997,9,3,246
769,1997-09-04,1997,9,4,247
770,1997-09-05,1997,9,5,248
771,1997-09-06,1997,9,6,249
772,1997-09-07,1997,9,7,250
773,1997-09-08,1997,9,8,251
774,1997-09-09,1997,9,9,252
