,Date,Year,Month,Day,Temp,Israel,Jordan,South Africa,The Netherlands,DayOfYear
44,1995-02-14,1995,2,14,20.33333333333333,0,0,1,0,45
45,1995-02-15,1995,2,15,19.444444444444443,0,0,1,0,46
46,1995-02-16,1995,2,16,20.88888888888889,0,0,1,0,47
47,1995-02-17,1995,2,17,23.61111111111111,0,0,1,0,48
48,1995-02-18,1995,2,18,20.88888888888889,0,0,1,0,49
49,1995-02-19,1995,2,19,20.444444444444443,0,0,1,0,50
50,1995-02-20,1995,2,20,18.166666666666668,0,0,1,0,51
51,1995-02-21,1995,2,21,18.833333333333336,0,0,1,0,52
52,1995-02-22,1995,2,22,20.11111111111111,0,0,1,0,53
53,1995-02-23,1995,2,23,20.611111111111107,0,0,1,0,54
54,1995-02-24,1995,2,24,22.38888888888889,0,0,1,0,55
55,1995-02-25,1995,2,25,23.000000000000004,0,0,1,0,56
56,1995-02-26,1995,2,26,21.55555555555556,0,0,1,0,57
57,1995-02-27,1995,2,27,19.55555555555556,0,0,1,0,58
58,1995-02-28,1995,2,28,20.0,0,0,1,0,59
59,1995-03-01,1995,3,1,23.166666666666668,0,0,1,0,60
60,1995-03-02,1995,3,2,23.000000000000004,0,0,1,0,61
61,1995-03-03,1995,3,3,20.777777777777786,0,0,1,0,62
62,1995-03-04,1995,3,4,19.72222222222222,0,0,1,0,63
63,1995-03-05,1995,3,5,20.222222222222225,0,0,1,0,64
64,1995-03-06,1995,3,6,20.444444444444443,0,0,1,0,65
65,1995-03-07,1995,3,7,22.944444444444443,0,0,1,0,66
66,1995-03-08,1995,3,8,19.444444444444443,0,0,1,0,67
67,1995-03-09,1995,3,9,21.83333333333333,0,0,1,0,68
68,1995-03-10,1995,3,10,23.72222222222222,0,0,1,0,69
69,1995-03-11,1995,3,11,19.166666666666668,0,0,1,0,70
70,1995-03-12,1995,3,12,18.38888888888889,0,0,1,0,71
71,1995-03-13,1995,3,13,19.944444444444446,0,0,1,0,72
72,1995-03-14,1995,3,14,22.0,0,0,1,0,73
73,1995-03-15,1995,3,15,22.88888888888889,0,0,1,0,74
74,1995-03-16,1995,3,16,22.77777777777778,0,0,1,0,75
75,1995-03-17,1995,3,17,21.05555555555556,0,0,1,0,76
76,1995-03-18,1995,3,18,17.444444444444443,0,0,1,0,77
77,1995-03-19,1995,3,19,16.88888888888889,0,0,1,0,78
78,1995-03-20,1995,3,20,18.277777777777786,0,0,1,0,79
79,1995-03-21,1995,3,21,19.5,0,0,1,0,80
80,1995-03-22,1995,3,22,20.500000000000004,0,0,1,0,81
81,1995-03-23,1995,3,23,20.11111111111111,0,0,1,0,82
82,1995-03-24,1995,3,24,21.27777777777778,0,0,1,0,83
83,1995-03-25,1995,3,25,17.555555555555557,0,0,1,0,84
84,1995-03-26,1995,3,26,17.166666666666668,0,0,1,0,85
85,1995-03-27,1995,3,27,21.05555555555556,0,0,1,0,86
86,1995-03-28,1995,3,28,19.22222222222221,0,0,1,0,87
87,1995-03-29,1995,3,29,16.11111111111111,0,0,1,0,88
88,1995-03-30,1995,3,30,16.944444444444443,0,0,1,0,89
89,1995-03-31,1995,3,31,16.055555555555557,0,0,1,0,90
90,1995-04-01,1995,4,1,18.833333333333336,0,0,1,0,91
91,1995-04-02,1995,4,2,17.38888888888889,0,0,1,0,92
92,1995-04-03,1995,4,3,18.000000000000004,0,0,1,0,93
93,1995-04-04,1995,4,4,17.88888888888889,0,0,1,0,94
94,1995-04-05,1995,4,5,16.38888888888889,0,0,1,0,95
95,1995-04-06,1995,4,6,18.61111111111111,0,0,1,0,96
96,1995-04-07,1995,4,7,17.444444444444443,0,0,1,0,97
97,1995-04-08,1995,4,8,15.11111111111111,0,0,1,0,98
98,1995-04-09,1995,4,9,17.0,0,0,1,0,99
99,1995-04-10,1995,4,10,18.61111111111111,0,0,1,0,100
100,1995-04-11,1995,4,11,17.0,0,0,1,0,101
101,1995-04-12,1995,4,12,17.055555555555557,0,0,1,0,102
102,1995-04-13,1995,4,13,14.27777777777778,0,0,1,0,103
103,1995-04-14,1995,4,14,16.11111111111111,0,0,1,0,104
104,1995-04-15,1995,4,15,13.777777777777777,0,0,1,0,105
105,1995-04-16,1995,4,16,13.11111111111111,0,0,1,0,106
106,1995-04-17,1995,4,17,14.000000000000002,0,0,1,0,107
107,1995-04-18,1995,4,18,15.0,0,0,1,0,108
108,1995-04-19,1995,4,19,13.666666666666666,0,0,1,0,109
109,1995-04-20,1995,4,20,14.77777777777778,0,0,1,0,110
110,1995-04-21,1995,4,21,15.166666666666666,0,0,1,0,111
111,1995-04-22,1995,4,22,15.333333333333334,0,0,1,0,112
112,1995-04-23,1995,4,23,15.0,0,0,1,0,113
113,1995-04-24,1995,4,24,14.61111111111111,0,0,1,0,114
114,1995-04-25,1995,4,25,12.611111111111112,0,0,1,0,115
115,1995-04-26,1995,4,26,12.388888888888888,0,0,1,0,116
116,1995-04-27,1995,4,27,13.61111111111111,0,0,1,0,117
117,1995-04-28,1995,4,28,15.22222222222222,0,0,1,0,118
118,1995-04-29,1995,4,29,15.11111111111111,0,0,1,0,119
119,1995-04-30,1995,4,30,15.944444444444445,0,0,1,0,120
120,1995-05-01,1995,5,1,15.666666666666666,0,0,1,0,121
121,1995-05-02,1995,5,2,14.5,0,0,1,0,122
122,1995-05-03,1995,5,3,16.166666666666668,0,0,1,0,123
123,1995-05-04,1995,5,4,15.5,0,0,1,0,124
124,1995-05-05,1995,5,5,13.499999999999998,0,0,1,0,125
125,1995-05-06,1995,5,6,14.166666666666666,0,0,1,0,126
126,1995-05-07,1995,5,7,13.61111111111111,0,0,1,0,127
127,1995-05-08,1995,5,8,15.22222222222222,0,0,1,0,128
128,1995-05-09,1995,5,9,14.833333333333334,0,0,1,0,129
129,1995-05-10,1995,5,10,13.0,0,0,1,0,130
130,1995-05-11,1995,5,11,14.555555555555555,0,0,1,0,131
131,1995-05-12,1995,5,12,15.72222222222222,0,0,1,0,132
132,1995-05-13,1995,5,13,14.27777777777778,0,0,1,0,133
133,1995-05-14,1995,5,14,17.555555555555557,0,0,1,0,134
134,1995-05-15,1995,5,15,17.72222222222222,0,0,1,0,135
135,1995-05-16,1995,5,16,15.88888888888889,0,0,1,0,136
136,1995-05-17,1995,5,17,15.555555555555555,0,0,1,0,137
137,1995-05-18,1995,5,18,15.5,0,0,1,0,138
138,1995-05-19,1995,5,19,19.5,0,0,1,0,139
139,1995-05-20,1995,5,20,14.61111111111111,0,0,1,0,140
140,1995-05-21,1995,5,21,10.72222222222222,0,0,1,0,141
141,1995-05-22,1995,5,22,10.61111111111111,0,0,1,0,142
142,1995-05-23,1995,5,23,13.27777777777778,0,0,1,0,143
143,1995-05-24,1995,5,24,14.833333333333334,0,0,1,0,144
144,1995-05-25,1995,5,25,13.555555555555555,0,0,1,0,145
145,1995-05-26,1995,5,26,14.555555555555555,0,0,1,0,146
146,1995-05-27,1995,5,27,15.88888888888889,0,0,1,0,147
147,1995-05-28,1995,5,28,17.5,0,0,1,0,148
148,1995-05-29,1995,5,29,16.666666666666668,0,0,1,0,149
149,1995-05-30,1995,5,30,14.055555555555554,0,0,1,0,150
150,1995-05-31,1995,5,31,10.388888888888893,0,0,1,0,151
151,1995-06-01,1995,6,1,10.0,0,0,1,0,152
152,1995-06-02,1995,6,2,11.277777777777777,0,0,1,0,153
153,1995-06-03,1995,6,3,16.055555555555557,0,0,1,0,154
154,1995-06-04,1995,6,4,13.11111111111111,0,0,1,0,155
155,1995-06-05,1995,6,5,9.38888888888889,0,0,1,0,156
156,1995-06-06,1995,6,6,10.77777777777778,0,0,1,0,157
157,1995-06-07,1995,6,7,12.111111111111107,0,0,1,0,158
158,1995-06-08,1995,6,8,14.61111111111111,0,0,1,0,159
159,1995-06-09,1995,6,9,14.333333333333334,0,0,1,0,160
160,1995-06-10,1995,6,10,13.61111111111111,0,0,1,0,161
161,1995-06-11,1995,6,11,11.72222222222222,0,0,1,0,162
162,1995-06-12,1995,6,12,10.388888888888893,0,0,1,0,163
163,1995-06-13,1995,6,13,13.0,0,0,1,0,164
164,1995-06-14,1995,6,14,12.0,0,0,1,0,165
165,1995-06-15,1995,6,15,12.111111111111107,0,0,1,0,166
166,1995-06-16,1995,6,16,12.27777777777778,0,0,1,0,167
167,1995-06-17,1995,6,17,11.944444444444445,0,0,1,0,168
168,1995-06-18,1995,6,18,12.166666666666666,0,0,1,0,169
169,1995-06-19,1995,6,19,12.944444444444445,0,0,1,0,170
170,1995-06-20,1995,6,20,13.666666666666666,0,0,1,0,171
171,1995-06-21,1995,6,21,12.055555555555555,0,0,1,0,172
172,1995-06-22,1995,6,22,13.666666666666666,0,0,1,0,173
173,1995-06-23,1995,6,23,12.111111111111107,0,0,1,0,174
174,1995-06-24,1995,6,24,11.944444444444445,0,0,1,0,175
175,1995-06-25,1995,6,25,11.88888888888889,0,0,1,0,176
176,1995-06-26,1995,6,26,13.666666666666666,0,0,1,0,177
177,1995-06-27,1995,6,27,13.0,0,0,1,0,178
178,1995-06-28,1995,6,28,13.555555555555555,0,0,1,0,179
179,1995-06-29,1995,6,29,13.61111111111111,0,0,1,0,180
180,1995-06-30,1995,6,30,12.833333333333334,0,0,1,0,181
181,1995-07-01,1995,7,1,12.166666666666666,0,0,1,0,182
182,1995-07-02,1995,7,2,11.166666666666666,0,0,1,0,183
183,1995-07-03,1995,7,3,11.055555555555555,0,0,1,0,184
184,1995-07-04,1995,7,4,10.333333333333334,0,0,1,0,185
185,1995-07-05,1995,7,5,10.166666666666664,0,0,1,0,186
186,1995-07-06,1995,7,6,10.388888888888893,0,0,1,0,187
187,1995-07-07,1995,7,7,11.833333333333332,0,0,1,0,188
188,1995-07-08,1995,7,8,11.72222222222222,0,0,1,0,189
189,1995-07-09,1995,7,9,13.722222222222223,0,0,1,0,190
190,1995-07-10,1995,7,10,12.111111111111107,0,0,1,0,191
191,1995-07-11,1995,7,11,10.27777777777778,0,0,1,0,192
192,1995-07-12,1995,7,12,10.0,0,0,1,0,193
193,1995-07-13,1995,7,13,8.333333333333334,0,0,1,0,194
194,1995-07-14,1995,7,14,10.388888888888893,0,0,1,0,195
195,1995-07-15,1995,7,15,12.611111111111112,0,0,1,0,196
196,1995-07-16,1995,7,16,12.72222222222222,0,0,1,0,197
197,1995-07-17,1995,7,17,9.166666666666666,0,0,1,0,198
198,1995-07-18,1995,7,18,8.055555555555555,0,0,1,0,199
199,1995-07-19,1995,7,19,9.888888888888888,0,0,1,0,200
200,1995-07-20,1995,7,20,11.555555555555554,0,0,1,0,201
201,1995-07-21,1995,7,21,10.5,0,0,1,0,202
202,1995-07-22,1995,7,22,7.555555555555555,0,0,1,0,203
203,1995-07-23,1995,7,23,8.38888888888889,0,0,1,0,204
204,1995-07-24,1995,7,24,9.38888888888889,0,0,1,0,205
205,1995-07-25,1995,7,25,9.555555555555555,0,0,1,0,206
206,1995-07-26,1995,7,26,11.222222222222223,0,0,1,0,207
207,1995-07-27,1995,7,27,10.77777777777778,0,0,1,0,208
208,1995-07-28,1995,7,28,11.833333333333332,0,0,1,0,209
209,1995-07-29,1995,7,29,13.38888888888889,0,0,1,0,210
210,1995-07-30,1995,7,30,12.833333333333334,0,0,1,0,211
211,1995-07-31,1995,7,31,13.722222222222223,0,0,1,0,212
212,1995-08-01,1995,8,1,13.38888888888889,0,0,1,0,213
213,1995-08-02,1995,8,2,12.166666666666666,0,0,1,0,214
214,1995-08-03,1995,8,3,13.22222222222222,0,0,1,0,215
215,1995-08-04,1995,8,4,12.5,0,0,1,0,216
216,1995-08-05,1995,8,5,9.38888888888889,0,0,1,0,217
217,1995-08-06,1995,8,6,10.61111111111111,0,0,1,0,218
218,1995-08-07,1995,8,7,12.611111111111112,0,0,1,0,219
219,1995-08-08,1995,8,8,12.27777777777778,0,0,1,0,220
220,1995-08-09,1995,8,9,12.333333333333336,0,0,1,0,221
221,1995-08-10,1995,8,10,11.500000000000002,0,0,1,0,222
222,1995-08-11,1995,8,11,11.61111111111111,0,0,1,0,223
223,1995-08-12,1995,8,12,12.833333333333334,0,0,1,0,224
224,1995-08-13,1995,8,13,14.61111111111111,0,0,1,0,225
225,1995-08-14,1995,8,14,13.777777777777777,0,0,1,0,226
226,1995-08-15,1995,8,15,16.22222222222222,0,0,1,0,227
227,1995-08-16,1995,8,16,17.166666666666668,0,0,1,0,228
228,1995-08-17,1995,8,17,13.777777777777777,0,0,1,0,229
229,1995-08-18,1995,8,18,12.944444444444445,0,0,1,0,230
230,1995-08-19,1995,8,19,12.333333333333336,0,0,1,0,231
231,1995-08-20,1995,8,20,12.5,0,0,1,0,232
232,1995-08-21,1995,8,21,10.72222222222222,0,0,1,0,233
233,1995-08-22,1995,8,22,10.27777777777778,0,0,1,0,234
234,1995-08-23,1995,8,23,8.666666666666666,0,0,1,0,235
235,1995-08-24,1995,8,24,10.88888888888889,0,0,1,0,236
236,1995-08-25,1995,8,25,11.61111111111111,0,0,1,0,237
237,1995-08-26,1995,8,26,11.72222222222222,0,0,1,0,238
238,1995-08-27,1995,8,27,11.277777777777777,0,0,1,0,239
239,1995-08-28,1995,8,28,10.333333333333334,0,0,1,0,240
240,1995-08-29,1995,8,29,12.388888888888888,0,0,1,0,241
241,1995-08-30,1995,8,30,11.555555555555554,0,0,1,0,242
242,1995-08-31,1995,8,31,11.666666666666666,0,0,1,0,243
243,1995-09-01,1995,9,1,13.38888888888889,0,0,1,0,244
244,1995-09-02,1995,9,2,12.27777777777778,0,0,1,0,245
245,1995-09-03,1995,9,3,12.388888888888888,0,0,1,0,246
246,1995-09-04,1995,9,4,13.333333333333334,0,0,1,0,247
247,1995-09-05,1995,9,5,12.22222222222222,0,0,1,0,248
248,1995-09-06,1995,9,6,14.000000000000002,0,0,1,0,249
249,1995-09-07,1995,9,7,13.833333333333334,0,0,1,0,250
250,1995-09-08,1995,9,8,13.055555555555555,0,0,1,0,251
251,1995-09-09,1995,9,9,14.333333333333334,0,0,1,0,252
252,1995-09-10,1995,9,10,13.333333333333334,0,0,1,0,253
253,1995-09-11,1995,9,11,13.722222222222223,0,0,1,0,254
254,1995-09-12,1995,9,12,14.5,0,0,1,0,255
255,1995-09-13,1995,9,13,15.27777777777778,0,0,1,0,256
256,1995-09-14,1995,9,14,17.22222222222222,0,0,1,0,257
257,1995-09-15,1995,9,15,15.5,0,0,1,0,258
258,1995-09-16,1995,9,16,16.333333333333332,0,0,1,0,259
259,1995-09-17,1995,9,17,14.38888888888889,0,0,1,0,260
260,1995-09-18,1995,9,18,14.27777777777778,0,0,1,0,261
261,1995-09-19,1995,9,19,14.166666666666666,0,0,1,0,262
262,1995-09-20,1995,9,20,14.11111111111111,0,0,1,0,263
263,1995-09-21,1995,9,21,17.88888888888889,0,0,1,0,264
264,1995-09-22,1995,9,22,18.38888888888889,0,0,1,0,265
265,1995-09-23,1995,9,23,14.72222222222222,0,0,1,0,266
266,1995-09-24,1995,9,24,14.833333333333334,0,0,1,0,267
267,1995-09-25,1995,9,25,14.666666666666666,0,0,1,0,268
268,1995-09-26,1995,9,26,14.27777777777778,0,0,1,0,269
269,1995-09-27,1995,9,27,13.444444444444446,0,0,1,0,270
270,1995-09-28,1995,9,28,12.5,0,0,1,0,271
271,1995-09-29,1995,9,29,13.27777777777778,0,0,1,0,272
272,1995-09-30,1995,9,30,13.833333333333334,0,0,1,0,273
273,1995-10-01,1995,10,1,15.27777777777778,0,0,1,0,274
274,1995-10-02,1995,10,2,15.333333333333334,0,0,1,0,275
275,1995-10-03,1995,10,3,14.833333333333334,0,0,1,0,276
276,1995-10-04,1995,10,4,14.22222222222222,0,0,1,0,277
277,1995-10-05,1995,10,5,13.055555555555555,0,0,1,0,278
278,1995-10-06,1995,10,6,13.833333333333334,0,0,1,0,279
279,1995-10-07,1995,10,7,13.666666666666666,0,0,1,0,280
280,1995-10-08,1995,10,8,13.166666666666668,0,0,1,0,281
281,1995-10-09,1995,10,9,14.166666666666666,0,0,1,0,282
282,1995-10-10,1995,10,10,15.22222222222222,0,0,1,0,283
283,1995-10-11,1995,10,11,14.166666666666666,0,0,1,0,284
284,1995-10-12,1995,10,12,12.666666666666664,0,0,1,0,285
285,1995-10-13,1995,10,13,12.666666666666664,0,0,1,0,286
286,1995-10-14,1995,10,14,13.444444444444446,0,0,1,0,287
287,1995-10-15,1995,10,15,18.38888888888889,0,0,1,0,288
288,1995-10-16,1995,10,16,16.333333333333332,0,0,1,0,289
289,1995-10-17,1995,10,17,15.055555555555555,0,0,1,0,290
290,1995-10-18,1995,10,18,14.055555555555554,0,0,1,0,291
291,1995-10-19,1995,10,19,15.166666666666666,0,0,1,0,292
292,1995-10-20,1995,10,20,14.77777777777778,0,0,1,0,293
293,1995-10-21,1995,10,21,14.333333333333334,0,0,1,0,294
294,1995-10-22,1995,10,22,13.166666666666668,0,0,1,0,295
295,1995-10-23,1995,10,23,15.444444444444445,0,0,1,0,296
296,1995-10-24,1995,10,24,13.833333333333334,0,0,1,0,297
297,1995-10-25,1995,10,25,11.666666666666666,0,0,1,0,298
298,1995-10-26,1995,10,26,12.388888888888888,0,0,1,0,299
299,1995-10-27,1995,10,27,15.055555555555555,0,0,1,0,300
300,1995-10-28,1995,10,28,17.22222222222222,0,0,1,0,301
301,1995-10-29,1995,10,29,19.0,0,0,1,0,302
302,1995-10-30,1995,10,30,21.22222222222222,0,0,1,0,303
303,1995-10-31,1995,10,31,22.722222222222225,0,0,1,0,304
304,1995-11-01,1995,11,1,17.83333333333333,0,0,1,0,305
305,1995-11-02,1995,11,2,16.166666666666668,0,0,1,0,306
306,1995-11-03,1995,11,3,15.22222222222222,0,0,1,0,307
307,1995-11-04,1995,11,4,13.833333333333334,0,0,1,0,308
308,1995-11-05,1995,11,5,16.61111111111111,0,0,1,0,309
309,1995-11-06,1995,11,6,18.33333333333333,0,0,1,0,310
310,1995-11-07,1995,11,7,17.555555555555557,0,0,1,0,311
311,1995-11-08,1995,11,8,16.77777777777778,0,0,1,0,312
312,1995-11-09,1995,11,9,18.944444444444443,0,0,1,0,313
313,1995-11-10,1995,11,10,17.666666666666668,0,0,1,0,314
314,1995-11-11,1995,11,11,17.22222222222222,0,0,1,0,315
315,1995-11-12,1995,11,12,18.111111111111107,0,0,1,0,316
316,1995-11-13,1995,11,13,18.55555555555556,0,0,1,0,317
317,1995-11-14,1995,11,14,18.88888888888889,0,0,1,0,318
318,1995-11-15,1995,11,15,20.166666666666668,0,0,1,0,319
319,1995-11-16,1995,11,16,17.22222222222222,0,0,1,0,320
320,1995-11-17,1995,11,17,19.61111111111111,0,0,1,0,321
321,1995-11-18,1995,11,18,21.83333333333333,0,0,1,0,322
322,1995-11-19,1995,11,19,22.16666666666667,0,0,1,0,323
323,1995-11-20,1995,11,20,22.5,0,0,1,0,324
324,1995-11-21,1995,11,21,21.77777777777778,0,0,1,0,325
325,1995-11-22,1995,11,22,20.666666666666668,0,0,1,0,326
326,1995-11-23,1995,11,23,16.72222222222222,0,0,1,0,327
327,1995-11-24,1995,11,24,16.61111111111111,0,0,1,0,328
328,1995-11-25,1995,11,25,17.0,0,0,1,0,329
329,1995-11-26,1995,11,26,18.5,0,0,1,0,330
330,1995-11-27,1995,11,27,20.611111111111107,0,0,1,0,331
331,1995-11-28,1995,11,28,18.944444444444443,0,0,1,0,332
332,1995-11-29,1995,11,29,14.055555555555554,0,0,1,0,333
333,1995-11-30,1995,11,30,15.0,0,0,1,0,334
334,1995-12-01,1995,12,1,17.666666666666668,0,0,1,0,335
335,1995-12-02,1995,12,2,18.944444444444443,0,0,1,0,336
336,1995-12-03,1995,12,3,22.05555555555556,0,0,1,0,337
337,1995-12-04,1995,12,4,20.05555555555556,0,0,1,0,338
338,1995-12-05,1995,12,5,21.22222222222222,0,0,1,0,339
339,1995-12-06,1995,12,6,20.444444444444443,0,0,1,0,340
340,1995-12-07,1995,12,7,20.666666666666668,0,0,1,0,341
341,1995-12-08,1995,12,8,22.27777777777777,0,0,1,0,342
342,1995-12-09,1995,12,9,20.72222222222222,0,0,1,0,343
343,1995-12-10,1995,12,10,20.166666666666668,0,0,1,0,344
344,1995-12-11,1995,12,11,24.05555555555556,0,0,1,0,345
345,1995-12-12,1995,12,12,23.666666666666664,0,0,1,0,346
346,1995-12-13,1995,12,13,23.72222222222222,0,0,1,0,347
347,1995-12-14,1995,12,14,19.77777777777777,0,0,1,0,348
348,1995-12-15,1995,12,15,18.55555555555556,0,0,1,0,349
349,1995-12-16,1995,12,16,20.55555555555556,0,0,1,0,350
350,1995-12-17,1995,12,17,20.666666666666668,0,0,1,0,351
351,1995-12-18,1995,12,18,17.27777777777778,0,0,1,0,352
352,1995-12-19,1995,12,19,18.277777777777786,0,0,1,0,353
353,1995-12-20,1995,12,20,19.83333333333333,0,0,1,0,354
354,1995-12-21,1995,12,21,21.333333333333336,0,0,1,0,355
355,1995-12-22,1995,12,22,21.888888888888893,0,0,1,0,356
356,1995-12-23,1995,12,23,18.38888888888889,0,0,1,0,357
357,1995-12-24,1995,12,24,17.5,0,0,1,0,358
358,1995-12-25,1995,12,25,17.944444444444443,0,0,1,0,359
359,1995-12-26,1995,12,26,19.22222222222221,0,0,1,0,360
360,1995-12-27,1995,12,27,20.222222222222225,0,0,1,0,361
361,1995-12-28,1995,12,28,21.27777777777778,0,0,1,0,362
362,1995-12-29,1995,12,29,20.55555555555556,0,0,1,0,363
363,1995-12-30,1995,12,30,21.944444444444443,0,0,1,0,364
364,1995-12-31,1995,12,31,21.888888888888893,0,0,1,0,365
365,1996-01-01,1996,1,1,21.11111111111111,0,0,1,0,1
366,1996-01-02,1996,1,2,22.38888888888889,0,0,1,0,2
367,1996-01-03,1996,1,3,22.88888888888889,0,0,1,0,3
368,1996-01-04,1996,1,4,21.22222222222222,0,0,1,0,4
369,1996-01-05,1996,1,5,20.166666666666668,0,0,1,0,5
370,1996-01-06,1996,1,6,20.611111111111107,0,0,1,0,6
371,1996-01-07,1996,1,7,19.33333333333333,0,0,1,0,7
372,1996-01-08,1996,1,8,20.11111111111111,0,0,1,0,8
373,1996-01-09,1996,1,9,19.33333333333333,0,0,1,0,9
374,1996-01-10,1996,1,10,19.111111111111114,0,0,1,0,10
375,1996-01-11,1996,1,11,19.83333333333333,0,0,1,0,11
376,1996-01-12,1996,1,12,21.333333333333336,0,0,1,0,12
377,1996-01-13,1996,1,13,22.944444444444443,0,0,1,0,13
378,1996-01-14,1996,1,14,22.22222222222222,0,0,1,0,14
379,1996-01-15,1996,1,15,21.27777777777778,0,0,1,0,15
380,1996-01-16,1996,1,16,23.55555555555556,0,0,1,0,16
381,1996-01-17,1996,1,17,22.444444444444446,0,0,1,0,17
382,1996-01-18,1996,1,18,23.944444444444443,0,0,1,0,18
383,1996-01-19,1996,1,19,24.33333333333333,0,0,1,0,19
384,1996-01-20,1996,1,20,24.72222222222222,0,0,1,0,20
385,1996-01-21,1996,1,21,22.33333333333333,0,0,1,0,21
386,1996-01-22,1996,1,22,19.55555555555556,0,0,1,0,22
387,1996-01-23,1996,1,23,19.05555555555556,0,0,1,0,23
388,1996-01-24,1996,1,24,19.166666666666668,0,0,1,0,24
389,1996-01-25,1996,1,25,20.11111111111111,0,0,1,0,25
390,1996-01-26,1996,1,26,19.77777777777777,0,0,1,0,26
391,1996-01-27,1996,1,27,22.666666666666668,0,0,1,0,27
392,1996-01-28,1996,1,28,23.77777777777778,0,0,1,0,28
393,1996-01-29,1996,1,29,20.444444444444443,0,0,1,0,29
394,1996-01-30,1996,1,30,21.22222222222222,0,0,1,0,30
395,1996-01-31,1996,1,31,20.944444444444443,0,0,1,0,31
396,1996-02-01,1996,2,1,22.16666666666667,0,0,1,0,32
397,1996-02-02,1996,2,2,20.83333333333333,0,0,1,0,33
398,1996-02-03,1996,2,3,20.11111111111111,0,0,1,0,34
399,1996-02-04,1996,2,4,21.38888888888889,0,0,1,0,35
400,1996-02-05,1996,2,5,22.83333333333333,0,0,1,0,36
401,1996-02-06,1996,2,6,21.83333333333333,0,0,1,0,37
402,1996-02-07,1996,2,7,21.83333333333333,0,0,1,0,38
403,1996-02-08,1996,2,8,21.38888888888889,0,0,1,0,39
404,1996-02-09,1996,2,9,21.0,0,0,1,0,40
405,1996-02-10,1996,2,10,21.0,0,0,1,0,41
406,1996-02-11,1996,2,11,21.888888888888893,0,0,1,0,42
407,1996-02-12,1996,2,12,19.444444444444443,0,0,1,0,43
408,1996-02-13,1996,2,13,16.333333333333332,0,0,1,0,44
409,1996-02-14,1996,2,14,17.444444444444443,0,0,1,0,45
410,1996-02-15,1996,2,15,20.55555555555556,0,0,1,0,46
411,1996-02-16,1996,2,16,20.83333333333333,0,0,1,0,47
412,1996-02-17,1996,2,17,23.33333333333333,0,0,1,0,48
