,Date,Year,Month,Day,Country_Israel,DayOfYear
18600,1995-03-10,1995,3,10,1,69
18601,1995-03-11,1995,3,11,1,70
18602,1995-03-12,1995,3,12,1,71
18603,1995-03-13,1995,3,13,1,72
18604,1995-03-14,1995,3,14,1,73
18605,1995-03-15,1995,3,15,1,74
18606,1995-03-16,1995,3,16,1,75
18607,1995-03-17,1995,3,17,1,76
18608,1995-03-18,1995,3,18,1,77
18609,1995-03-19,1995,3,19,1,78
18610,1995-03-20,1995,3,20,1,79
18611,1995-03-21,1995,3,21,1,80
18612,1995-03-22,1995,3,22,1,81
18613,1995-03-23,1995,3,23,1,82
18614,1995-03-24,1995,3,24,1,83
18615,1995-03-25,1995,3,25,1,84
18616,1995-03-26,1995,3,26,1,85
18617,1995-03-27,1995,3,27,1,86
18618,1995-03-28,1995,3,28,1,87
18619,1995-03-29,1995,3,29,1,88
18620,1995-03-30,1995,3,30,1,89
18621,1995-03-31,1995,3,31,1,90
18622,1995-04-01,1995,4,1,1,91
18623,1995-04-02,1995,4,2,1,92
18624,1995-04-03,1995,4,3,1,93
18625,1995-04-04,1995,4,4,1,94
18626,1995-04-05,1995,4,5,1,95
18627,1995-04-06,1995,4,6,1,96
18628,1995-04-07,1995,4,7,1,97
18629,1995-04-08,1995,4,8,1,98
18630,1995-04-09,1995,4,9,1,99
18631,1995-04-10,1995,4,10,1,100
18632,1995-04-11,1995,4,11,1,101
18633,1995-04-12,1995,4,12,1,102
18634,1995-04-13,1995,4,13,1,103
18635,1995-04-14,1995,4,14,1,104
18636,1995-04-15,1995,4,15,1,105
18637,1995-04-16,1995,4,16,1,106
18638,1995-04-17,1995,4,17,1,107
18639,1995-04-18,1995,4,18,1,108
18640,1995-04-19,1995,4,19,1,109
18641,1995-04-20,1995,4,20,1,110
18642,1995-04-21,1995,4,21,1,111
18643,1995-04-22,1995,4,22,1,112
18644,1995-04-23,1995,4,23,1,113
18645,1995-04-24,1995,4,24,1,114
18646,1995-04-25,1995,4,25,1,115
18647,1995-04-26,1995,4,26,1,116
18648,1995-04-27,1995,4,27,1,117
18649,1995-04-28,1995,4,28,1,118
18650,1995-04-29,1995,4,29,1,119
18651,1995-04-30,1995,4,30,1,120
18652,1995-05-01,1995,5,1,1,121
18653,1995-05-02,1995,5,2,1,122
18654,1995-05-03,1995,5,3,1,123
18655,1995-05-04,1995,5,4,1,124
18656,1995-05-05,1995,5,5,1,125
18657,1995-05-06,1995,5,6,1,126
18658,1995-05-07,1995,5,7,1,127
18659,1995-05-08,1995,5,8,1,128
18660,1995-05-09,1995,5,9,1,129
18661,1995-05-10,1995,5,10,1,130
18662,1995-05-11,1995,5,11,1,131
18663,1995-05-12,1995,5,12,1,132
18664,1995-05-13,1995,5,13,1,133
18665,1995-05-14,1995,5,14,1,134
18666,1995-05-15,1995,5,15,1,135
18667,1995-05-16,1995,5,16,1,136
18668,1995-05-17,1995,5,17,1,137
18669,1995-05-18,1995,5,18,1,138
18670,1995-05-19,1995,5,19,1,139
18671,1995-05-20,1995,5,20,1,140
18672,1995-05-21,1995,5,21,1,141
18673,1995-05-22,1995,5,22,1,142
18674,1995-05-23,1995,5,23,1,143
18675,1995-05-24,1995,5,24,1,144
18676,1995-05-25,1995,5,25,1,145
18677,1995-05-26,1995,5,26,1,146
18678,1995-05-27,1995,5,27,1,147
18679,1995-05-28,1995,5,28,1,148
18680,1995-05-29,1995,5,29,1,149
18681,1995-05-30,1995,5,30,1,150
18682,1995-05-31,1995,5,31,1,151
18683,1995-06-01,1995,6,1,1,152
18684,1995-06-02,1995,6,2,1,153
18685,1995-06-03,1995,6,3,1,154
18686,1995-06-04,1995,6,4,1,155
18687,1995-06-05,1995,6,5,1,156
18688,1995-06-06,1995,6,6,1,157
18689,1995-06-07,1995,6,7,1,158
18690,1995-06-08,1995,6,8,1,159
18691,1995-06-09,1995,6,9,1,160
18692,1995-06-10,1995,6,10,1,161
18693,1995-06-11,1995,6,11,1,162
18694,1995-06-12,1995,6,12,1,163
18695,1995-06-13,1995,6,13,1,164
18696,1995-06-14,1995,6,14,1,165
18697,1995-06-15,1995,6,15,1,166
18698,1995-06-16,1995,6,16,1,167
18699,1995-06-17,1995,6,17,1,168
18700,1995-06-18,1995,6,18,1,169
18701,1995-06-19,1995,6,19,1,170
18702,1995-06-20,1995,6,20,1,171
18703,1995-06-21,1995,6,21,1,172
18704,1995-06-22,1995,6,22,1,173
18705,1995-06-23,1995,6,23,1,174
18706,1995-06-24,1995,6,24,1,175
18707,1995-06-25,1995,6,25,1,176
18708,1995-06-26,1995,6,26,1,177
18709,1995-06-27,1995,6,27,1,178
18710,1995-06-28,1995,6,28,1,179
18711,1995-06-29,1995,6,29,1,180
18712,1995-06-30,1995,6,30,1,181
18713,1995-07-01,1995,7,1,1,182
18714,1995-07-02,1995,7,2,1,183
18715,1995-07-03,1995,7,3,1,184
18716,1995-07-04,1995,7,4,1,185
18717,1995-07-05,1995,7,5,1,186
18718,1995-07-06,1995,7,6,1,187
18719,1995-07-07,1995,7,7,1,188
18720,1995-07-08,1995,7,8,1,189
18721,1995-07-09,1995,7,9,1,190
18722,1995-07-10,1995,7,10,1,191
18723,1995-07-11,1995,7,11,1,192
18724,1995-07-12,1995,7,12,1,193
18725,1995-07-13,1995,7,13,1,194
18726,1995-07-14,1995,7,14,1,195
18727,1995-07-15,1995,7,15,1,196
18728,1995-07-16,1995,7,16,1,197
18729,1995-07-17,1995,7,17,1,198
18730,1995-07-18,1995,7,18,1,199
18731,1995-07-19,1995,7,19,1,200
18732,1995-07-20,1995,7,20,1,201
18733,1995-07-21,1995,7,21,1,202
18734,1995-07-22,1995,7,22,1,203
18735,1995-07-23,1995,7,23,1,204
18736,1995-07-24,1995,7,24,1,205
18737,1995-07-25,1995,7,25,1,206
18738,1995-07-26,1995,7,26,1,207
18739,1995-07-27,1995,7,27,1,208
18740,1995-07-28,1995,7,28,1,209
18741,1995-07-29,1995,7,29,1,210
18742,1995-07-30,1995,7,30,1,211
18743,1995-07-31,1995,7,31,1,212
18744,1995-08-01,1995,8,1,1,213
18745,1995-08-02,1995,8,2,1,214
18746,1995-08-03,1995,8,3,1,215
18747,1995-08-04,1995,8,4,1,216
18748,1995-08-05,1995,8,5,1,217
18749,1995-08-06,1995,8,6,1,218
18750,1995-08-07,1995,8,7,1,219
18751,1995-08-08,1995,8,8,1,220
18752,1995-08-09,1995,8,9,1,221
18753,1995-08-10,1995,8,10,1,222
18754,1995-08-11,1995,8,11,1,223
18755,1995-08-12,1995,8,12,1,224
18756,1995-08-13,1995,8,13,1,225
18757,1995-08-14,1995,8,14,1,226
18758,1995-08-15,1995,8,15,1,227
18759,1995-08-16,1995,8,16,1,228
18760,1995-08-17,1995,8,17,1,229
18761,1995-08-18,1995,8,18,1,230
18762,1995-08-19,1995,8,19,1,231
18763,1995-08-20,1995,8,20,1,232
18764,1995-08-21,1995,8,21,1,233
18765,1995-08-22,1995,8,22,1,234
18766,1995-08-23,1995,8,23,1,235
18767,1995-08-24,1995,8,24,1,236
18768,1995-08-25,1995,8,25,1,237
18769,1995-08-26,1995,8,26,1,238
18770,1995-08-27,1995,8,27,1,239
18771,1995-08-28,1995,8,28,1,240
18772,1995-08-29,1995,8,29,1,241
18773,1995-08-30,1995,8,30,1,242
18774,1995-08-31,1995,8,31,1,243
18975,1996-03-19,1996,3,19,1,79
18976,1996-03-20,1996,3,20,1,80
18977,1996-03-21,1996,3,21,1,81
18978,1996-03-22,1996,3,22,1,82
18979,1996-03-23,1996,3,23,1,83
18980,1996-03-24,1996,3,24,1,84
18981,1996-03-25,1996,3,25,1,85
18982,1996-03-26,1996,3,26,1,86
18983,1996-03-27,1996,3,27,1,87
18984,1996-03-28,1996,3,28,1,88
18985,1996-03-29,1996,3,29,1,89
18986,1996-03-30,1996,3,30,1,90
18987,1996-03-31,1996,3,31,1,91
18988,1996-04-01,1996,4,1,1,92
18989,1996-04-02,1996,4,2,1,93
18990,1996-04-03,1996,4,3,1,94
18991,1996-04-04,1996,4,4,1,95
18992,1996-04-05,1996,4,5,1,96
18993,1996-04-06,1996,4,6,1,97
18994,1996-04-07,1996,4,7,1,98
18995,1996-04-08,1996,4,8,1,99
18996,1996-04-09,1996,4,9,1,100
18997,1996-04-10,1996,4,10,1,101
18998,1996-04-11,1996,4,11,1,102
19002,1996-04-15,1996,4,15,1,106
19003,1996-04-16,1996,4,16,1,107
19004,1996-04-17,1996,4,17,1,108
19005,1996-04-18,1996,4,18,1,109
19006,1996-04-19,1996,4,19,1,110
19007,1996-04-20,1996,4,20,1,111
19008,1996-04-21,1996,4,21,1,112
19009,1996-04-22,1996,4,22,1,113
19010,1996-04-23,1996,4,23,1,114
19011,1996-04-24,1996,4,24,1,115
19012,1996-04-25,1996,4,25,1,116
19013,1996-04-26,1996,4,26,1,117
19014,1996-04-27,1996,4,27,1,118
19015,1996-04-28,1996,4,28,1,119
19016,1996-04-29,1996,4,29,1,120
19017,1996-04-30,1996,4,30,1,121
19018,1996-05-01,1996,5,1,1,122
19019,1996-05-02,1996,5,2,1,123
19020,1996-05-03,1996,5,3,1,124
19021,1996-05-04,1996,5,4,1,125
19022,1996-05-05,1996,5,5,1,126
19023,1996-05-06,1996,5,6,1,127
19024,1996-05-07,1996,5,7,1,128
19025,1996-05-08,1996,5,8,1,129
19026,1996-05-09,1996,5,9,1,130
19027,1996-05-10,1996,5,10,1,131
19028,1996-05-11,1996,5,11,1,132
19029,1996-05-12,1996,5,12,1,133
19030,1996-05-13,1996,5,13,1,134
19031,1996-05-14,1996,5,14,1,135
19032,1996-05-15,1996,5,15,1,136
19033,1996-05-16,1996,5,16,1,137
19034,1996-05-17,1996,5,17,1,138
19035,1996-05-18,1996,5,18,1,139
19036,1996-05-19,1996,5,19,1,140
19037,1996-05-20,1996,5,20,1,141
19038,1996-05-21,1996,5,21,1,142
19039,1996-05-22,1996,5,22,1,143
19040,1996-05-23,1996,5,23,1,144
19041,1996-05-24,1996,5,24,1,145
19042,1996-05-25,1996,5,25,1,146
19043,1996-05-26,1996,5,26,1,147
19044,1996-05-27,1996,5,27,1,148
19045,1996-05-28,1996,5,28,1,149
19046,1996-05-29,1996,5,29,1,150
19047,1996-05-30,1996,5,30,1,151
19048,1996-05-31,1996,5,31,1,152
19049,1996-06-01,1996,6,1,1,153
19050,1996-06-02,1996,6,2,1,154
19051,1996-06-03,1996,6,3,1,155
19052,1996-06-04,1996,6,4,1,156
19053,1996-06-05,1996,6,5,1,157
19054,1996-06-06,1996,6,6,1,158
19055,1996-06-07,1996,6,7,1,159
19056,1996-06-08,1996,6,8,1,160
19057,1996-06-09,1996,6,9,1,161
19058,1996-06-10,1996,6,10,1,162
19059,1996-06-11,1996,6,11,1,163
19060,1996-06-12,1996,6,12,1,164
19061,1996-06-13,1996,6,13,1,165
19062,1996-06-14,1996,6,14,1,166
19063,1996-06-15,1996,6,15,1,167
19064,1996-06-16,1996,6,16,1,168
19065,1996-06-17,1996,6,17,1,169
19066,1996-06-18,1996,6,18,1,170
19067,1996-06-19,1996,6,19,1,171
19068,1996-06-20,1996,6,20,1,172
19069,1996-06-21,1996,6,21,1,173
19070,1996-06-22,1996,6,22,1,174
19071,1996-06-23,1996,6,23,1,175
19072,1996-06-24,1996,6,24,1,176
19073,1996-06-25,1996,6,25,1,177
19074,1996-06-26,1996,6,26,1,178
19075,1996-06-27,1996,6,27,1,179
19076,1996-06-28,1996,6,28,1,180
19077,1996-06-29,1996,6,29,1,181
19078,1996-06-30,1996,6,30,1,182
19079,1996-07-01,1996,7,1,1,183
19080,1996-07-02,1996,7,2,1,184
19081,1996-07-03,1996,7,3,1,185
19082,1996-07-04,1996,7,4,1,186
19083,1996-07-05,1996,7,5,1,187
19084,1996-07-06,1996,7,6,1,188
19085,1996-07-07,1996,7,7,1,189
19086,1996-07-08,1996,7,8,1,190
19087,1996-07-09,1996,7,9,1,191
19088,1996-07-10,1996,7,10,1,192
19089,1996-07-11,1996,7,11,1,193
19090,1996-07-12,1996,7,12,1,194
19091,1996-07-13,1996,7,13,1,195
19092,1996-07-14,1996,7,14,1,196
19093,1996-07-15,1996,7,15,1,197
19094,1996-07-16,1996,7,16,1,198
19095,1996-07-17,1996,7,17,1,199
19096,1996-07-18,1996,7,18,1,200
19097,1996-07-19,1996,7,19,1,201
19098,1996-07-20,1996,7,20,1,202
19099,1996-07-21,1996,7,21,1,203
19100,1996-07-22,1996,7,22,1,204
19101,1996-07-23,1996,7,23,1,205
19102,1996-07-24,1996,7,24,1,206
19103,1996-07-25,1996,7,25,1,207
19104,1996-07-26,1996,7,26,1,208
19105,1996-07-27,1996,7,27,1,209
19106,1996-07-28,1996,7,28,1,210
19107,1996-07-29,1996,7,29,1,211
19108,1996-07-30,1996,7,30,1,212
19109,1996-07-31,1996,7,31,1,213
19110,1996-08-01,1996,8,1,1,214
19111,1996-08-02,1996,8,2,1,215
19112,1996-08-03,1996,8,3,1,216
19113,1996-08-04,1996,8,4,1,217
19114,1996-08-05,1996,8,5,1,218
19115,1996-08-06,1996,8,6,1,219
19116,1996-08-07,1996,8,7,1,220
19117,1996-08-08,1996,8,8,1,221
19119,1996-08-10,1996,8,10,1,223
19120,1996-08-11,1996,8,11,1,224
19121,1996-08-12,1996,8,12,1,225
19122,1996-08-13,1996,8,13,1,226
19123,1996-08-14,1996,8,14,1,227
19124,1996-08-15,1996,8,15,1,228
19125,1996-08-16,1996,8,16,1,229
19126,1996-08-17,1996,8,17,1,230
19127,1996-08-18,1996,8,18,1,231
19128,1996-08-19,1996,8,19,1,232
19129,1996-08-20,1996,8,20,1,233
19130,1996-08-21,1996,8,21,1,234
19131,1996-08-22,1996,8,22,1,235
19132,1996-08-23,1996,8,23,1,236
19133,1996-08-24,1996,8,24,1,237
19134,1996-08-25,1996,8,25,1,238
19135,1996-08-26,1996,8,26,1,239
19136,1996-08-27,1996,8,27,1,240
19137,1996-08-28,1996,8,28,1,241
19138,1996-08-29,1996,8,29,1,242
19139,1996-08-30,1996,8,30,1,243
19140,1996-08-31,1996,8,31,1,244
19141,1996-09-01,1996,9,1,1,245
19142,1996-09-02,1996,9,2,1,246
19143,1996-09-03,1996,9,3,1,247
19144,1996-09-04,1996,9,4,1,248
19145,1996-09-05,1996,9,5,1,249
19146,1996-09-06,1996,9,6,1,250
19147,1996-09-07,1996,9,7,1,251
19148,1996-09-08,1996,9,8,1,252
19149,1996-09-09,1996,9,9,1,253
19150,1996-09-10,1996,9,10,1,254
19151,1996-09-11,1996,9,11,1,255
19152,1996-09-12,1996,9,12,1,256
19153,1996-09-13,1996,9,13,1,257
19154,1996-09-14,1996,9,14,1,258
19155,1996-09-15,1996,9,15,1,259
19156,1996-09-16,1996,9,16,1,260
19157,1996-09-17,1996,9,17,1,261
19158,1996-09-18,1996,9,18,1,262
19159,1996-09-19,1996,9,19,1,263
19160,1996-09-20,1996,9,20,1,264
19161,1996-09-21,1996,9,21,1,265
19162,1996-09-22,1996,9,22,1,266
19163,1996-09-23,1996,9,23,1,267
19164,1996-09-24,1996,9,24,1,268
19165,1996-09-25,1996,9,25,1,269
19166,1996-09-26,1996,9,26,1,270
19167,1996-09-27,1996,9,27,1,271
19168,1996-09-28,1996,9,28,1,272
19169,1996-09-29,1996,9,29,1,273
19170,1996-09-30,1996,9,30,1,274
19171,1996-10-01,1996,10,1,1,275
19172,1996-10-02,1996,10,2,1,276
19173,1996-10-03,1996,10,3,1,277
19174,1996-10-04,1996,10,4,1,278
19175,1996-10-05,1996,10,5,1,279
19176,1996-10-06,1996,10,6,1,280
19177,1996-10-07,1996,10,7,1,281
19178,1996-10-08,1996,10,8,1,282
19179,1996-10-09,1996,10,9,1,283
19180,1996-10-10,1996,10,10,1,284
19181,1996-10-11,1996,10,11,1,285
19182,1996-10-12,1996,10,12,1,286
19183,1996-10-13,1996,10,13,1,287
19184,1996-10-14,1996,10,14,1,288
19185,1996-10-15,1996,10,15,1,289
19186,1996-10-16,1996,10,16,1,290
19187,1996-10-17,1996,10,17,1,291
19189,1996-10-19,1996,10,19,1,293
19191,1996-10-21,1996,10,21,1,295
19192,1996-10-22,1996,10,22,1,296
19193,1996-10-23,1996,10,23,1,297
19194,1996-10-24,1996,10,24,1,298
19195,1996-10-25,1996,10,25,1,299
19196,1996-10-26,1996,10,26,1,300
19197,1996-10-27,1996,10,27,1,301
19198,1996-10-28,1996,10,28,1,302
19199,1996-10-29,1996,10,29,1,303
19200,1996-10-30,1996,10,30,1,304
19201,1996-10-31,1996,10,31,1,305
19202,1996-11-01,1996,11,1,1,306
19203,1996-11-02,1996,11,2,1,307
19204,1996-11-03,1996,11,3,1,308
19205,1996-11-04,1996,11,4,1,309
19206,1996-11-05,1996,11,5,1,310
19207,1996-11-06,1996,11,6,1,311
19208,1996-11-07,1996,11,7,1,312
19209,1996-11-08,1996,11,8,1,313
19210,1996-11-09,1996,11,9,1,314
19211,1996-11-10,1996,11,10,1,315
19212,1996-11-11,1996,11,11,1,316
19213,1996-11-12,1996,11,12,1,317
19214,1996-11-13,1996,11,13,1,318
19215,1996-11-14,1996,11,14,1,319
19216,1996-11-15,1996,11,15,1,320
19217,1996-11-16,1996,11,16,1,321
19218,1996-11-17,1996,11,17,1,322
19219,1996-11-18,1996,11,18,1,323
19220,1996-11-19,1996,11,19,1,324
19221,1996-11-20,1996,11,20,1,325
19222,1996-11-21,1996,11,21,1,326
19223,1996-11-22,1996,11,22,1,327
19224,1996-11-23,1996,11,23,1,328
19225,1996-11-24,1996,11,24,1,329
19226,1996-11-25,1996,11,25,1,330
19227,1996-11-26,1996,11,26,1,331
19228,1996-11-27,1996,11,27,1,332
19229,1996-11-28,1996,11,28,1,333
19230,1996-11-29,1996,11,29,1,334
19231,1996-11-30,1996,11,30,1,335
19232,1996-12-01,1996,12,1,1,336
19233,1996-12-02,1996,12,2,1,337
19234,1996-12-03,1996,12,3,1,338
19235,1996-12-04,1996,12,4,1,339
19236,1996-12-05,1996,12,5,1,340
19237,1996-12-06,1996,12,6,1,341
19238,1996-12-07,1996,12,7,1,342
19239,1996-12-08,1996,12,8,1,343
19240,1996-12-09,1996,12,9,1,344
19241,1996-12-10,1996,12,10,1,345
19242,1996-12-11,1996,12,11,1,346
19243,1996-12-12,1996,12,12,1,347
19244,1996-12-13,1996,12,13,1,348
19245,1996-12-14,1996,12,14,1,349
19246,1996-12-15,1996,12,15,1,350
19247,1996-12-16,1996,12,16,1,351
19248,1996-12-17,1996,12,17,1,352
19249,1996-12-18,1996,12,18,1,353
19250,1996-12-19,1996,12,19,1,354
19251,1996-12-20,1996,12,20,1,355
19252,1996-12-21,1996,12,21,1,356
19253,1996-12-22,1996,12,22,1,357
19254,1996-12-23,1996,12,23,1,358
19255,1996-12-24,1996,12,24,1,359
19256,1996-12-25,1996,12,25,1,360
19257,1996-12-26,1996,12,26,1,361
19258,1996-12-27,1996,12,27,1,362
19259,1996-12-28,1996,12,28,1,363
19260,1996-12-29,1996,12,29,1,364
19261,1996-12-30,1996,12,30,1,365
19262,1996-12-31,1996,12,31,1,366
19263,1997-01-01,1997,1,1,1,1
19264,1997-01-02,1997,1,2,1,2
19265,1997-01-03,1997,1,3,1,3
19266,1997-01-04,1997,1,4,1,4
19267,1997-01-05,1997,1,5,1,5
19268,1997-01-06,1997,1,6,1,6
19269,1997-01-07,1997,1,7,1,7
19270,1997-01-08,1997,1,8,1,8
19271,1997-01-09,1997,1,9,1,9
19272,1997-01-10,1997,1,10,1,10
19273,1997-01-11,1997,1,11,1,11
19274,1997-01-12,1997,1,12,1,12
19275,1997-01-13,1997,1,13,1,13
19276,1997-01-14,1997,1,14,1,14
19277,1997-01-15,1997,1,15,1,15
19278,1997-01-16,1997,1,16,1,16
19279,1997-01-17,1997,1,17,1,17
19280,1997-01-18,1997,1,18,1,18
19281,1997-01-19,1997,1,19,1,19
19282,1997-01-20,1997,1,20,1,20
19283,1997-01-21,1997,1,21,1,21
19284,1997-01-22,1997,1,22,1,22
19285,1997-01-23,1997,1,23,1,23
19286,1997-01-24,1997,1,24,1,24
19287,1997-01-25,1997,1,25,1,25
19288,1997-01-26,1997,1,26,1,26
19289,1997-01-27,1997,1,27,1,27
19290,1997-01-28,1997,1,28,1,28
19291,1997-01-29,1997,1,29,1,29
19292,1997-01-30,1997,1,30,1,30
19293,1997-01-31,1997,1,31,1,31
19294,1997-02-01,1997,2,1,1,32
19295,1997-02-02,1997,2,2,1,33
19296,1997-02-03,1997,2,3,1,34
19297,1997-02-04,1997,2,4,1,35
19298,1997-02-05,1997,2,5,1,36
19299,1997-02-06,1997,2,6,1,37
19300,1997-02-07,1997,2,7,1,38
19301,1997-02-08,1997,2,8,1,39
19302,1997-02-09,1997,2,9,1,40
19303,1997-02-10,1997,2,10,1,41
19304,1997-02-11,1997,2,11,1,42
19305,1997-02-12,1997,2,12,1,43
19306,1997-02-13,1997,2,13,1,44
19307,1997-02-14,1997,2,14,1,45
19308,1997-02-15,1997,2,15,1,46
19309,1997-02-16,1997,2,16,1,47
19310,1997-02-17,1997,2,17,1,48
19311,1997-02-18,1997,2,18,1,49
19312,1997-02-19,1997,2,19,1,50
19313,1997-02-20,1997,2,20,1,51
19314,1997-02-21,1997,2,21,1,52
19315,1997-02-22,1997,2,22,1,53
19316,1997-02-23,1997,2,23,1,54
19317,1997-02-24,1997,2,24,1,55
19318,1997-02-25,1997,2,25,1,56
19319,1997-02-26,1997,2,26,1,57
19320,1997-02-27,1997,2,27,1,58
19321,1997-02-28,1997,2,28,1,59
19322,1997-03-01,1997,3,1,1,60
19323,1997-03-02,1997,3,2,1,61
19324,1997-03-03,1997,3,3,1,62
19325,1997-03-04,1997,3,4,1,63
19326,1997-03-05,1997,3,5,1,64
19327,1997-03-06,1997,3,6,1,65
19328,1997-03-07,1997,3,7,1,66
19329,1997-03-08,1997,3,8,1,67
19330,1997-03-09,1997,3,9,1,68
19331,1997-03-10,1997,3,10,1,69
19332,1997-03-11,1997,3,11,1,70
19333,1997-03-12,1997,3,12,1,71
19334,1997-03-13,1997,3,13,1,72
19335,1997-03-14,1997,3,14,1,73
19336,1997-03-15,1997,3,15,1,74
19337,1997-03-16,1997,3,16,1,75
19338,1997-03-17,1997,3,17,1,76
19339,1997-03-18,1997,3,18,1,77
19340,1997-03-19,1997,3,19,1,78
19341,1997-03-20,1997,3,20,1,79
19342,1997-03-21,1997,3,21,1,80
19343,1997-03-22,1997,3,22,1,81
19344,1997-03-23,1997,3,23,1,82
19345,1997-03-24,1997,3,24,1,83
19346,1997-03-25,1997,3,25,1,84
19347,1997-03-26,1997,3,26,1,85
19348,1997-03-27,1997,3,27,1,86
19349,1997-03-28,1997,3,28,1,87
19350,1997-03-29,1997,3,29,1,88
19351,1997-03-30,1997,3,30,1,89
19352,1997-03-31,1997,3,31,1,90
19353,1997-04-01,1997,4,1,1,91
19354,1997-04-02,1997,4,2,1,92
19355,1997-04-03,1997,4,3,1,93
19356,1997-04-04,1997,4,4,1,94
19357,1997-04-05,1997,4,5,1,95
19358,1997-04-06,1997,4,6,1,96
19359,1997-04-07,1997,4,7,1,97
19360,1997-04-08,1997,4,8,1,98
19361,1997-04-09,1997,4,9,1,99
19362,1997-04-10,1997,4,10,1,100
19363,1997-04-11,1997,4,11,1,101
19364,1997-04-12,1997,4,12,1,102
19365,1997-04-13,1997,4,13,1,103
19366,1997-04-14,1997,4,14,1,104
19367,1997-04-15,1997,4,15,1,105
19368,1997-04-16,1997,4,16,1,106
19369,1997-04-17,1997,4,17,1,107
19370,1997-04-18,1997,4,18,1,108
19371,1997-04-19,1997,4,19,1,109
19373,1997-04-21,1997,4,21,1,111
19374,1997-04-22,1997,4,22,1,112
19375,1997-04-23,1997,4,23,1,113
19376,1997-04-24,1997,4,24,1,114
19377,1997-04-25,1997,4,25,1,115
19378,1997-04-26,1997,4,26,1,116
19379,1997-04-27,1997,4,27,1,117
19380,1997-04-28,1997,4,28,1,118
19381,1997-04-29,1997,4,29,1,119
19382,1997-04-30,1997,4,30,1,120
19383,1997-05-01,1997,5,1,1,121
19384,1997-05-02,1997,5,2,1,122
19385,1997-05-03,1997,5,3,1,123
19386,1997-05-04,1997,5,4,1,124
19387,1997-05-05,1997,5,5,1,125
19388,1997-05-06,1997,5,6,1,126
19389,1997-05-07,1997,5,7,1,127
19390,1997-05-08,1997,5,8,1,128
19391,1997-05-09,1997,5,9,1,129
19392,1997-05-10,1997,5,10,1,130
19393,1997-05-11,1997,5,11,1,131
19394,1997-05-12,1997,5,12,1,132
19395,1997-05-13,1997,5,13,1,133
19396,1997-05-14,1997,5,14,1,134
19397,1997-05-15,1997,5,15,1,135
19398,1997-05-16,1997,5,16,1,136
19399,1997-05-17,1997,5,17,1,137
19400,1997-05-18,1997,5,18,1,138
19401,1997-05-19,1997,5,19,1,139
19402,1997-05-20,1997,5,20,1,140
